"game_id","game_date","year","sv_pitch_id","at_bat_number","pitch_number","inning","top_inning_sw","event_type","event_result","pre_balls","pre_strikes","pre_outs","throws","pitcher_id","initial_speed","pitch_type","break_x","break_z","plate_x","plate_z","HitTrajectory"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194054",15,1,2,"Y","ball","",0,0,2,"R",501957,91.8,"FF",-3.4,11.71,-1.421,3.661,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194114",15,2,2,"Y","ball","",1,0,2,"R",501957,91.2,"FF",-0.43,12.16,-0.256,3.625,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194134",15,3,2,"Y","ball","",2,0,2,"R",501957,90.3,"FC",-0.32,10.07,-0.682,3.652,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194156",15,4,2,"Y","called_strike","",3,0,2,"R",501957,90.9,"FF",-3.06,12.42,-0.298,2.811,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194218",15,5,2,"Y","ball","walk",3,1,2,"R",501957,90.8,"FC",0.84,13.32,-1.26,3.091,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_202349",34,1,4,"Y","called_strike","",0,0,0,"R",501957,89,"FF",-4.15,12.28,-0.793,2.121,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_202507",34,2,4,"Y","hit_into_play","force_out",0,1,0,"R",501957,89.8,"FF",-3.36,10.27,-0.992,3.235,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191100",3,1,1,"Y","called_strike","",0,0,2,"R",501957,92.4,"FF",-3.38,10.8,0.942,2.1,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191116",3,2,1,"Y","called_strike","",0,1,2,"R",501957,94.3,"FF",-2.4,11.82,0.584,1.902,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191135",3,3,1,"Y","ball","",0,2,2,"R",501957,88.3,"SL",1.37,4.25,0.564,1.649,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191153",3,4,1,"Y","ball","",1,2,2,"R",501957,79.6,"KC",3.31,-9.85,1.316,1.075,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191210",3,5,1,"Y","foul","",2,2,2,"R",501957,88.9,"SL",2.46,4.43,1.125,2.277,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191235",3,6,1,"Y","swinging_strike","strikeout",2,2,2,"R",501957,93.5,"FF",-2.6,12.4,1.115,3.088,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_195806",22,1,3,"Y","ball","",0,0,1,"R",501957,92.2,"FF",-0.68,10.86,-1.155,2.771,"line_drive"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_195827",22,2,3,"Y","foul","",1,0,1,"R",501957,91,"FF",-0.79,9.96,-0.619,3.522,"line_drive"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_195852",22,3,3,"Y","ball","",1,1,1,"R",501957,75.9,"KC",4.27,-12.26,-2.191,4.059,"line_drive"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_195914",22,4,3,"Y","hit_into_play_no_out","single",2,1,1,"R",501957,82.9,"CH",-4.96,8.52,-1.277,3.594,"line_drive"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200512",26,1,3,"Y","called_strike","",0,0,2,"R",501957,77.2,"KC",4.31,-13.18,-0.044,3.255,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200009",23,1,3,"Y","hit_into_play_score","single",0,0,1,"R",501957,83,"CH",-5.33,10.76,-0.43,1.778,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200526",26,2,3,"Y","ball","",0,1,2,"R",501957,76.5,"KC",5.6,-12.21,0.089,4.042,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200539",26,3,3,"Y","foul","",1,1,2,"R",501957,92.9,"FF",-2.6,11.14,0.426,3.497,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200600",26,4,3,"Y","ball","",1,2,2,"R",501957,77.1,"KC",5.61,-13.96,-0.528,4.382,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200615",26,5,3,"Y","foul","",2,2,2,"R",501957,92,"FF",-1.46,11.42,0.223,3.055,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200635",26,6,3,"Y","foul","",2,2,2,"R",501957,84.5,"CH",-6.61,10.94,0.323,1.455,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200659",26,7,3,"Y","foul","",2,2,2,"R",501957,92.6,"FF",-1.83,12.54,0.261,2.764,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200717",26,8,3,"Y","foul","",2,2,2,"R",501957,76.9,"KC",2.55,-12.6,0.334,2.549,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200735",26,9,3,"Y","hit_into_play","field_out",2,2,2,"R",501957,83.7,"CH",-8.05,8.58,0.063,2.94,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_194328",16,1,2,"Y","swinging_strike","",0,0,2,"R",501957,83.7,"CH",-6,8.78,-0.723,2.526,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_190934",2,1,1,"Y","called_strike","",0,0,1,"R",501957,92.9,"FF",-2.96,12.7,-0.374,2.058,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_190950",2,2,1,"Y","called_strike","",0,1,1,"R",501957,78,"KC",5.89,-9.11,0.68,1.969,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191007",2,3,1,"Y","ball","",0,2,1,"R",501957,92.6,"FF",-1.69,9.79,-1.273,4.056,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_191026",2,4,1,"Y","called_strike","strikeout",1,2,1,"R",501957,93.5,"FF",-2.52,11.82,-0.896,1.984,"U"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_190826",1,1,1,"Y","ball","",0,0,0,"R",501957,90.8,"FF",-0.71,12.3,0.549,1.767,"fly_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_190839",1,2,1,"Y","ball","",1,0,0,"R",501957,91.3,"FF",-2.1,13.4,0.75,1.66,"fly_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_190857",1,3,1,"Y","hit_into_play","field_out",2,0,0,"R",501957,91.2,"FF",-1.96,11.39,-0.331,3.321,"fly_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_193107",10,1,2,"Y","called_strike","",0,0,0,"R",501957,90.2,"FC",0.36,10.65,-0.594,2.136,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_193119",10,2,2,"Y","hit_into_play_no_out","single",0,1,0,"R",501957,82.2,"CH",-6.29,9.97,0.009,1.711,"ground_ball"
"2013/04/06/minmlb-balmlb-1","06-APR-13",2013,"130406_200305",25,1,3,"Y","ball","",0,0,2,"R",501957,90.7,"FF",-0.46,12.47,-0.537,4.927,"fly_ball"
